Country,Capital City,Latitude,Longitude,Column1,Zoom,Column2,,,,
Ukraine,Kyiv (Kiev),50.4454,30.5186,579400,6,,,,Lithuania,62604
Madagascar,Antananarivo,-18.9137,47.5361,581800,6,,,,Luxembourg,2574.46
Central African Republic,Bangui,4.3612,18.555,622980,6,,,,Latvia,62230
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,627340,6,,,,"China, Macao SAR",
South Sudan,Juba,4.8517,31.5825,631930,6,,,,St. Martin (French part),50
Afghanistan,Kabul,34.5289,69.1725,652230,6,,,,Morocco,446300
Myanmar,Nay Pyi Taw,19.745,96.1297,652670,6,,,,Monaco,2.084
Zambia,Lusaka,-15.4134,28.2771,743390,6,,,,Moldova,32890
Chile,Santiago,-33.4569,-70.6483,743532,6,,,,Madagascar,581800
Turkiye,Ankara,39.9199,32.8543,769630,6,,,,Maldives,300
Pakistan,Islamabad,33.7035,73.0594,770880,6,,,,"Middle East, North Africa, Afghanistan & Pakistan",12614112.71
Mozambique,Maputo,-25.9653,32.5892,786380,6,,,,Mexico,1943950
Namibia,Windhoek,-22.5594,17.0832,823290,6,,,,Marshall Islands,180
Nigeria,Abuja,9.0574,7.4898,910770,6,,,,Middle income,62344764.93
Egypt,Al-Qahirah (Cairo),30.0392,31.2394,995450,6,,,,North Macedonia,25220
Mauritania,Nouakchott,18.0858,-15.9785,1030700,6,,,,Mali,1220190
Colombia,Bogotá,4.6097,-74.0818,1109500,6,,,,Malta,320
Ethiopia,Addis Ababa,9.025,38.7469,1128571.4,6,,,,Myanmar,652670
South Africa,Cape Town,-33.9258,18.4232,1213090,6,,,,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",10053482.71
Mali,Bamako,12.65,-8,1220190,6,,,,Montenegro,13450
Angola,Luanda,-8.8368,13.2343,1246700,6,,,,Mongolia,1557506.789
Chad,N'Djaména,12.1067,15.0444,1259200,6,,,,Northern Mariana Islands,460
Niger,Niamey,13.5137,2.1098,1266700,6,,,,Mozambique,786380
Peru,Lima,-12.0432,-77.0282,1280000,6,,,,Mauritania,1030700
Mongolia,Ulaanbaatar,47.9077,106.8832,1557506.789,6,,,,Mauritius,1997
Libya,Tarabulus (Tripoli),32.8752,13.1875,1759540,6,,,,Malawi,94280
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,1868000,6,,,,Malaysia,328550
Indonesia,Jakarta,-6.2118,106.8416,1892555.47,6.19,,,,North America,17936174
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,1943950,6.17,,,,Namibia,823290
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,2149690,6.08,,,,New Caledonia,18280
Algeria,El Djazaïr  (Algiers),36.7525,3.042,2381741,5.99,,,,Niger,1266700
Kazakhstan,Astana,51.1801,71.446,2699700,5.85,,,,Nigeria,910770
Argentina,Buenos Aires,-34.6051,-58.4004,2736690,5.83,,,,Nicaragua,120340
India,Delhi,28.6667,77.2167,2973190,5.73,,,,Netherlands,33670
Australia,Canberra,-35.2835,149.1281,7692020,3.72,,,,Norway,364270
Brazil,Brasília,-15.7797,-47.9297,8358140,3.44,,,,Nepal,143350
Canada,Ottawa-Gatineau,45.4166,-75.698,8788700,3.26,,,,Nauru,20
United States,"Washington, D.C.",38.8951,-77.0364,9147420,3.1,,,,New Zealand,263310
China,Beijing,39.9075,116.3972,9388210,3,,,,OECD members,35310296.2
Russian Federation,Moskva (Moscow),55.755,37.6218,16376870,3,,,,Oman,309500
,,,,,,,,,Other small states,274898
,,,,,,,,,Pakistan,770880
,,,,,,,,,Panama,74180
,,,,,,,,,Peru,1280000
,,,,,,,,,Philippines,298170
,,,,,,,,,Palau,460
,,,,,,,,,Papua New Guinea,452860
,,,,,,,,,Poland,306090
,,,,,,,,,Pre-demographic dividend,20308679.83
,,,,,,,,,Puerto Rico (US),8870
,,,,,,,,,"Korea, Dem. People's Rep.",120410
,,,,,,,,,Portugal,91605.6
,,,,,,,,,Paraguay,396012.042
,,,,,,,,,West Bank and Gaza,
,,,,,,,,,Pacific island small states,64150
,,,,,,,,,Post-demographic dividend,31167592.2
,,,,,,,,,French Polynesia,3471
,,,,,,,,,Qatar,11490
,,,,,,,,,Romania,230080
,,,,,,,,,Russian Federation,16376870
,,,,,,,,,Rwanda,24670
,,,,,,,,,South Asia,3347010
,,,,,,,,,Saudi Arabia,2149690
,,,,,,,,,Sudan,1868000
,,,,,,,,,Senegal,192530
,,,,,,,,,Singapore,718
,,,,,,,,,Solomon Islands,27990
,,,,,,,,,Sierra Leone,72180
,,,,,,,,,El Salvador,20720
,,,,,,,,,San Marino,60
,,,,,,,,,Somalia,627340
,,,,,,,,,Serbia,84090
,,,,,,,,,Sub-Saharan Africa (excluding high income),22761831.83
,,,,,,,,,South Sudan,631930
,,,,,,,,,Sub-Saharan Africa,23890863.23
,,,,,,,,,Small states,737575.61
,,,,,,,,,Sao Tome and Principe,960
,,,,,,,,,Suriname,160507.61
,,,,,,,,,Slovakia,48080
,,,,,,,,,Slovenia,20136.4
,,,,,,,,,Sweden,407280
,,,,,,,,,Eswatini,17200
,,,,,,,,,Sint Maarten (Dutch part),34
,,,,,,,,,Seychelles,460
,,,,,,,,,Syrian Arab Republic,185179.709
,,,,,,,,,Turks and Caicos Islands,950
,,,,,,,,,Chad,1259200
,,,,,,,,,East Asia & Pacific (IDA & IBRD countries),15881181.26
,,,,,,,,,Europe & Central Asia (IDA & IBRD countries),22985312
,,,,,,,,,Togo,54390
,,,,,,,,,Thailand,510890
,,,,,,,,,Tajikistan,138790
,,,,,,,,,Turkmenistan,469930
,,,,,,,,,Latin America & the Caribbean (IDA & IBRD countries),19917009.67
,,,,,,,,,Timor-Leste,14870
